x				y				E				h
0.0				0.0
0.1				0.04693				0.006				0.02652
0.12652				0.09387				0.006				0.02652
0.1456				0.17468				0.006				0.01909
0.1609				0.28997				0.006				0.0153
0.17385				0.44007				0.006				0.01295
0.18518				0.62519				0.006				0.01133
0.1953				0.84548				0.006				0.01013
0.2053				1.10261				0.00656				0.01
0.2153				1.4002				0.00722				0.01
0.2253				1.74229				0.00792				0.01
0.2353				2.1331				0.00865				0.01
0.2453				2.57706				0.00941				0.01
0.2553				3.07878				0.0102				0.01
0.2653				3.64306				0.01102				0.01
0.2753				4.2749				0.01188				0.01
0.2853				4.97949				0.01277				0.01
0.2953				5.76222				0.01369				0.01
0.3053				6.62864				0.01464				0.01
0.3153				7.58454				0.01562				0.01
0.3253				8.63586				0.01664				0.01
0.3353				9.78875				0.01769				0.01
0.3453				11.04956				0.01877				0.01
0.3553				12.42481				0.01988				0.01
0.3653				13.92124				0.02102				0.01
0.3753				15.54576				0.0222				0.01
0.3853				17.30548				0.02341				0.01
0.3953				19.20769				0.02465				0.01
0.4053				21.2599				0.02592				0.01
0.4153				23.46979				0.02722				0.01
0.4253				25.84522				0.02856				0.01
0.4353				28.39429				0.02993				0.01
0.4453				31.12523				0.03133				0.01
0.4553				34.04651				0.03276				0.01
0.4653				37.16677				0.03422				0.01
0.4753				40.49486				0.03572				0.01
0.4853				44.03978				0.03725				0.01
0.4953				47.81078				0.03881				0.01
0.5053				51.81726				0.0404				0.01
0.5153				56.06882				0.04202				0.01
0.5253				60.57526				0.04368				0.01
0.5353				65.34658				0.04537				0.01
0.5453				70.39295				0.04709				0.01
0.5553				75.72474				0.04884				0.01
0.5653				81.35252				0.05062				0.01
0.5753				87.28705				0.05244				0.01
0.5853				93.53928				0.05428				0.01
0.5953				100.12034				0.05616				0.01
0.6053				107.04157				0.05808				0.01
0.6153				114.3145				0.06002				0.01
0.6253				121.95083				0.062				0.01
0.6353				129.96249				0.064				0.01
0.6453				138.36157				0.06604				0.01
0.6553				147.16036				0.06812				0.01
0.6653				156.37135				0.07022				0.01
0.6753				166.00721				0.07236				0.01
0.6853				176.08082				0.07452				0.01
0.6953				186.60524				0.07672				0.01
0.7053				197.59371				0.07896				0.01
0.7153				209.05969				0.08122				0.01
0.7253				221.0168				0.08352				0.01
0.7353				233.47889				0.08584				0.01
0.7453				246.45996				0.0882				0.01
0.7553				259.97424				0.0906				0.01
0.7653				274.03612				0.09302				0.01
0.7753				288.66021				0.09548				0.01
0.7853				303.86129				0.09796				0.01
0.7953				319.65435				0.10048				0.01
0.8053				336.05455				0.10304				0.01
0.8153				353.07726				0.10562				0.01
0.8253				370.73804				0.10824				0.01
0.8353				389.05264				0.11088				0.01
0.8453				408.037				0.11356				0.01
0.8553				427.70724				0.11628				0.01
0.8653				448.07971				0.11902				0.01
0.8753				469.1709				0.1218				0.01
0.8853				490.99754				0.1246				0.01
0.8953				513.57652				0.12744				0.01
0.9053				536.92494				0.13032				0.01
0.9153				561.06008				0.13322				0.01
0.9253				585.99941				0.13615				0.01
0.9353				611.76061				0.13912				0.01
0.9453				638.36153				0.14212				0.01
0.9553				665.82024				0.14515				0.01
0.9653				694.15497				0.14822				0.01
0.99				725.67339				0.1591				0.01
1.0				758.15174				0.1623				0.01
Icod=0! Ошибок нет!

Число точек интегрирования: 85
Число точек, в которых не достигается заданная точность: 79
Общее количество минимальных шагов интегрирования: 79
Общее количество максимальных шагов интегрирования: 0
